"Run","Condition","BioReplicate"
"20210805_BoxCarmax1st_wideMS1_JM_pSIL_pro_heart_0d_1","0 day","Replicate 1 0 day"
"20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_heart_0d_1","0 day","Replicate 1 0 day"
"20210805_BoxCarmax3rd_wideMS1_JM_pSIL_pro_heart_0d_1","0 day","Replicate 1 0 day"
"20210805_BoxCarmax4th_wideMS1_JM_pSIL_pro_heart_0d_1","0 day","Replicate 1 0 day"
"20210805_BoxCarmax1st_wideMS1_JM_pSIL_pro_heart_0d_2","0 day","Replicate 2 0 day"
"20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_heart_0d_2","0 day","Replicate 2 0 day"
"20210805_BoxCarmax3rd_wideMS1_JM_pSIL_pro_heart_0d_2","0 day","Replicate 2 0 day"
"20210805_BoxCarmax4th_wideMS1_JM_pSIL_pro_heart_0d_2","0 day","Replicate 2 0 day"
"20210805_BoxCarmax1st_wideMS1_JM_pSIL_pro_heart_8d_1","8 days","Replicate 1 8 days"
"20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_heart_8d_1","8 days","Replicate 1 8 days"
"20210805_BoxCarmax3rd_wideMS1_JM_pSIL_pro_heart_8d_1","8 days","Replicate 1 8 days"
"20210805_BoxCarmax4th_wideMS1_JM_pSIL_pro_heart_8d_1","8 days","Replicate 1 8 days"
"20210805_BoxCarmax1st_wideMS1_JM_pSIL_pro_heart_32d_1","32 days","Replicate 1 32 days"
"20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_heart_32d_1","32 days","Replicate 1 32 days"
"20210805_BoxCarmax3rd_wideMS1_JM_pSIL_pro_heart_32d_1","32 days","Replicate 1 32 days"
"20210805_BoxCarmax4th_wideMS1_JM_pSIL_pro_heart_32d_1","32 days","Replicate 1 32 days"
"20210805_BoxCarmax1st_wideMS1_JM_pSIL_pro_heart_8d_2","8 days","Replicate 2 8 days"
"20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_heart_8d_2","8 days","Replicate 2 8 days"
"20210805_BoxCarmax3rd_wideMS1_JM_pSIL_pro_heart_8d_2","8 days","Replicate 2 8 days"
"20210805_BoxCarmax4th_wideMS1_JM_pSIL_pro_heart_8d_2","8 days","Replicate 2 8 days"
"20210805_BoxCarmax1st_wideMS1_JM_pSIL_pro_heart_32d_2","32 days","Replicate 2 32 days"
"20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_heart_32d_2","32 days","Replicate 2 32 days"
"20210805_BoxCarmax3rd_wideMS1_JM_pSIL_pro_heart_32d_2","32 days","Replicate 2 32 days"
"20210805_BoxCarmax4th_wideMS1_JM_pSIL_pro_heart_32d_2","32 days","Replicate 2 32 days"
