"Run","Fraction","TechRepMixture","Channel","Condition","Mixture","BioReplicate"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01","1","1","channel.0","Norm","Mixture1","Norm"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01","1","1","channel.1","0.667","Mixture1","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01","1","1","channel.2","0.125","Mixture1","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01","1","1","channel.3","0.5","Mixture1","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01","1","1","channel.4","1","Mixture1","1"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01","1","1","channel.5","0.125","Mixture1","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01","1","1","channel.6","0.5","Mixture1","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01","1","1","channel.7","1","Mixture1","1"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01","1","1","channel.8","0.667","Mixture1","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_01","1","1","channel.9","Norm","Mixture1","Norm"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02","1","2","channel.0","Norm","Mixture1","Norm"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02","1","2","channel.1","0.667","Mixture1","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02","1","2","channel.2","0.125","Mixture1","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02","1","2","channel.3","0.5","Mixture1","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02","1","2","channel.4","1","Mixture1","1"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02","1","2","channel.5","0.125","Mixture1","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02","1","2","channel.6","0.5","Mixture1","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02","1","2","channel.7","1","Mixture1","1"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02","1","2","channel.8","0.667","Mixture1","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_02","1","2","channel.9","Norm","Mixture1","Norm"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_03","1","3","channel.0","Norm","Mixture1","Norm"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_03","1","3","channel.1","0.667","Mixture1","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_03","1","3","channel.2","0.125","Mixture1","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_03","1","3","channel.3","0.5","Mixture1","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_03","1","3","channel.4","1","Mixture1","1"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_03","1","3","channel.5","0.125","Mixture1","0.125"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_03","1","3","channel.6","0.5","Mixture1","0.5"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_03","1","3","channel.7","1","Mixture1","1"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_03","1","3","channel.8","0.667","Mixture1","0.667"
"161117_SILAC_HeLa_UPS1_TMT10_Mixture1_03","1","3","channel.9","Norm","Mixture1","Norm"
