Run,Order
20250102_Tulum_NeatK562_Seq1,1
20250102_Tulum_NeatK562_Seq2,2
20250102_Tulum_1to2K562_Seq3,3
20250102_Tulum_1to2K563_Seq4,4
20250102_Tulum_NeatK562_Seq5,5
20250102_Tulum_NeatK562_Seq6,6
20250102_Tulum_1to2K562_Seq7,7
20250102_Tulum_NeatK562_Seq8,8
20250102_Tulum_1to2K562_Seq9,9
20250102_Tulum_NeatK562_Seq10,10
20250102_Tulum_NeatK562_Seq11,11
20250102_Tulum_1to2K562_Seq12,12
20250102_Tulum_1to2K562_Seq13,13
20250102_Tulum_1to2K562_Seq14,14
20250102_Tulum_NeatK562_Seq15,15
20250102_Tulum_NeatK562_Seq16,16
20250102_Tulum_1to2K562_Seq17,17
20250102_Tulum_NeatK562_Seq18,18
20250102_Tulum_1to2K562_Seq19,19
20250102_Tulum_NeatK562_Seq20,20
20250102_Tulum_1to2K562_Seq21,21
20250102_Tulum_NeatK562_Seq22,22
20250102_Tulum_NeatK562_Seq23,23
20250102_Tulum_1to2K562_Seq24,24
20250102_Tulum_1to2K562_Seq25,25
20250102_Tulum_NeatK562_Seq26,26
20250102_Tulum_NeatK562_Seq27,27
20250102_Tulum_1to2K562_Seq28,28
20250102_Tulum_1to2K562_Seq29,29
20250102_Tulum_1to2K562_Seq30,30
20250102_Tulum_1to4K562_Seq31,31
20250102_Tulum_1to2K562_Seq32,32
20250102_Tulum_1to8K562_Seq33,33
20250102_Tulum_1to4K562_Seq34,34
20250102_Tulum_1to16K562_Seq35,35
20250102_Tulum_1to8K562_Seq36,36
20250102_Tulum_1to32K562_Seq37,37
20250102_Tulum_1to16K562_Seq38,38
20250102_Tulum_1to64K562_Seq39,39
20250102_Tulum_1to32K562_Seq40,40
